Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)|Rugrats Movie, The (1998)|Bug's Life, A (1998)|Toy Story 2 (1999)|Saludos Amigos (1943)|Chicken Run (2000)|Adventures of Rocky and Bullwinkle, The (2000)|Goofy Movie, A (1995)"
Insomnia (1997),"Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
Little Boy Blue (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Ugly, The (1997)","Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)|Halloween: The Curse of Michael Myers (1995)|Psycho (1960)|Believers, The (1987)|Nightwatch (1997)|Scream (1996)|Scream 2 (1997)|Poltergeist (1982)"
"Perfect Murder, A (1998)","Just Cause (1995)|Underneath, The (1995)|True Crime (1995)|Heaven's Prisoners (1996)|Vertigo (1958)|Rear Window (1954)|Gaslight (1944)|Dial M for Murder (1954)|Basic Instinct (1992)|Third Man, The (1949)"
Beyond Silence (1996),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Six Days Seven Nights (1998),"True Lies (1994)|Princess Bride, The (1987)|Jewel of the Nile, The (1985)|Romancing the Stone (1984)|Grumpier Old Men (1995)|Sabrina (1995)|Wings of Courage (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)"
Can't Hardly Wait (1998),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)|I Like It Like That (1994)|What Happened Was... (1994)|Emma (1996)|Twelfth Night (1996)|Cinema Paradiso (1988)|Wings of Desire (Der Himmel über Berlin) (1987)"
Cousin Bette (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
High Art (1998),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
"Land Girls, The (1998)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
Passion in the Desert (1998),"White Squall (1996)|War, The (1994)|Old Man and the Sea, The (1958)|Squanto: A Warrior's Tale (1994)|Male and Female (1919)|Fitzcarraldo (1982)|Easy Rider (1969)|Beach, The (2000)|Dersu Uzala (1974)|Free Willy 2: The Adventure Home (1995)"
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Dear Jesse (1997),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Dream for an Insomniac (1996),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Hav Plenty (1997),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Henry Fool (1997),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Marie Baie Des Anges (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Mr. Jealousy (1997),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Mulan (1998),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)|Pinocchio (1940)|Aristocats, The (1970)|Oliver & Company (1988)|Land Before Time III: The Time of the Great Giving (1995)|Winnie the Pooh and the Blustery Day (1968)|Sword in the Stone, The (1963)|Fox and the Hound, The (1981)"
Resurrection Man (1998),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)"
"X-Files: Fight the Future, The (1998)","2001: A Space Odyssey (1968)|Event Horizon (1997)|Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)|Just Cause (1995)|Underneath, The (1995)|Virtuosity (1995)|Robocop 3 (1993)|True Crime (1995)"
I Went Down (1997),Batman Forever (1995)|Batman Returns (1992)|Best Men (1997)|Lethal Weapon 4 (1998)|Lethal Weapon (1987)|Lethal Weapon 2 (1989)|Lethal Weapon 3 (1992)|Midnight Run (1988)|Montana (1998)|Man Bites Dog (C'est arrivé près de chez vous) (1992)
Doctor Dolittle (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Out of Sight (1998),"True Romance (1993)|Truth or Consequences, N.M. (1997)|Run Lola Run (Lola rennt) (1998)|New York Cop (1996)|Set It Off (1996)|Days of Thunder (1990)|Top Gun (1986)|King of New York (1990)|Wisdom (1986)|Detroit 9000 (1973)"
Picnic at Hanging Rock (1975),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)|Lone Star (1996)|In the Heat of the Night (1967)|Klute (1971)|Rapture, The (1991)|Blue Velvet (1986)|Red Violin, The (Le Violon rouge) (1998)|Morning After, The (1986)"
Smoke Signals (1998),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Voyage to the Beginning of the World (1997),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Buffalo 66 (1998),Get Shorty (1995)|Faster Pussycat! Kill! Kill! (1965)|Best Men (1997)|Lethal Weapon 4 (1998)|Lethal Weapon (1987)|Lethal Weapon 2 (1989)|Lethal Weapon 3 (1992)|Montana (1998)|Man Bites Dog (C'est arrivé près de chez vous) (1992)|Waiting to Exhale (1995)
Armageddon (1998),"Escape from L.A. (1996)|Abyss, The (1989)|Escape from New York (1981)|Lost World: Jurassic Park, The (1997)|Spawn (1997)|Total Recall (1990)|Soldier (1998)|GoldenEye (1995)|Johnny Mnemonic (1995)|Judge Dredd (1995)"
Lethal Weapon 4 (1998),Best Men (1997)|Lethal Weapon (1987)|Lethal Weapon 2 (1989)|Lethal Weapon 3 (1992)|Montana (1998)|Man Bites Dog (C'est arrivé près de chez vous) (1992)|Get Shorty (1995)|Dead Presidents (1995)|Faster Pussycat! Kill! Kill! (1965)|Two Crimes (1995)
Madeline (1998),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)|Flintstones, The (1994)|Richie Rich (1994)|Little Big League (1994)|Little Rascals, The (1994)|Home Alone (1990)|Harriet the Spy (1996)|Matilda (1996)"
Small Soldiers (1998),"Quest for Camelot (1998)|Peter Pan (1953)|Watership Down (1978)|Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)|Pinocchio (1940)|Aristocats, The (1970)|Oliver & Company (1988)|Land Before Time III: The Time of the Great Giving (1995)"
Pi (1998),"Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)|Virtuosity (1995)|Robocop 3 (1993)|Island of Dr. Moreau, The (1996)|Mimic (1997)|Soylent Green (1973)|Cube (1997)|Stepford Wives, The (1975)"
Whatever (1998),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
There's Something About Mary (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Plan 9 from Outer Space (1958),"Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)|Night of the Living Dead (1968)|Blob, The (1958)|Alien Escape (1995)|Species II (1998)|Parasite (1982)|Lifeforce (1985)|Faculty, The (1998)"
Wings (1927),"Rob Roy (1995)|Colonel Chabert, Le (1994)|Casablanca (1942)|Gone with the Wind (1939)|Crying Game, The (1992)|English Patient, The (1996)|From Here to Eternity (1953)|Doctor Zhivago (1965)|Ride with the Devil (1999)|Legends of the Fall (1994)"
"Broadway Melody, The (1929)","Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)|Sound of Music, The (1965)|Madame Butterfly (1995)|Great Ziegfeld, The (1936)|Oliver! (1968)|King and I, The (1956)|Love Bewitched, A (El Amor Brujo) (1986)|All That Jazz (1979)"
All Quiet on the Western Front (1930),"Land and Freedom (Tierra y libertad) (1995)|Underground (1995)|Stalingrad (1993)|Pharaoh's Army (1995)|Prisoner of the Mountains (Kavkazsky Plennik) (1996)|Pork Chop Hill (1959)|Run Silent, Run Deep (1958)|Tora! Tora! Tora! (1970)|Cross of Iron (1977)|Devil's Brigade, The (1968)"
Cimarron (1931),"Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)|Tombstone (1993)|Wild Bunch, The (1969)|Dead Man (1995)|Angel and the Badman (1947)|Outlaw, The (1943)|Davy Crockett, King of the Wild Frontier (1955)|Once Upon a Time in the West (1969)"
Grand Hotel (1932),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Cavalcade (1933),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Mutiny on the Bounty (1935),"Phantom, The (1996)|Mark of Zorro, The (1940)|Macao (1952)|Treasure of the Sierra Madre, The (1948)|Man Who Would Be King, The (1975)|Prince Valiant (1997)|Firewalker (1986)|Beyond the Poseidon Adventure (1979)|Napoleon and Samantha (1972)|Quest for Fire (1981)"
"Great Ziegfeld, The (1936)","Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)|Sound of Music, The (1965)|Madame Butterfly (1995)|Broadway Melody, The (1929)|Oliver! (1968)|King and I, The (1956)|Love Bewitched, A (El Amor Brujo) (1986)|All That Jazz (1979)"
"Life of Émile Zola, The (1937)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
You Can't Take It With You (1938),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
How Green Was My Valley (1941),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Mrs. Miniver (1942),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
Going My Way (1944),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Lost Weekend, The (1945)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Best Years of Our Lives, The (1946)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
Gentleman's Agreement (1947),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Hamlet (1948),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
All the King's Men (1949),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Greatest Show on Earth, The (1952)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
From Here to Eternity (1953),"Rob Roy (1995)|Colonel Chabert, Le (1994)|Casablanca (1942)|Gone with the Wind (1939)|Crying Game, The (1992)|English Patient, The (1996)|Wings (1927)|Doctor Zhivago (1965)|Ride with the Devil (1999)|Legends of the Fall (1994)"
On the Waterfront (1954),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
Marty (1955),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
West Side Story (1961),"Singin' in the Rain (1952)|American in Paris, An (1951)|My Fair Lady (1964)|Dirty Dancing (1987)|Gay Divorcee, The (1934)|Top Hat (1935)|Everyone Says I Love You (1996)|Shall We Dance? (1937)|Damsel in Distress, A (1937)|Grease (1978)"
Tom Jones (1963),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Man for All Seasons, A (1966)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
In the Heat of the Night (1967),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)|Lone Star (1996)|Picnic at Hanging Rock (1975)|Klute (1971)|Rapture, The (1991)|Blue Velvet (1986)|Red Violin, The (Le Violon rouge) (1998)|Morning After, The (1986)"
Oliver! (1968),"Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)|Sound of Music, The (1965)|Madame Butterfly (1995)|Broadway Melody, The (1929)|Great Ziegfeld, The (1936)|King and I, The (1956)|Love Bewitched, A (El Amor Brujo) (1986)|All That Jazz (1979)"
Midnight Cowboy (1969),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"French Connection, The (1971)","Corruptor, The (1999)|Heat (1995)|Copycat (1995)|Dead Presidents (1995)|Guardian Angel (1994)|Amateur (1994)|Hackers (1995)|Kiss of Death (1995)|Outbreak (1995)|Guilty as Sin (1993)"
Rocky (1976),"Target (1995)|Perfect World, A (1993)|Program, The (1993)|Romper Stomper (1992)|Palookaville (1996)|Johnny 100 Pesos (1993)|Marked for Death (1990)|Mad City (1997)|Men of Means (1998)|Tokyo Fist (1995)"
Kramer Vs. Kramer (1979),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Ordinary People (1980),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Chariots of Fire (1981),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Terms of Endearment (1983),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Out of Africa (1985),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
"Last Emperor, The (1987)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
Rain Man (1988),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
