Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
"Lord of the Rings, The (1978)",Flight of the Navigator (1986)|Howard the Duck (1986)|Gulliver's Travels (1939)
Nineteen Eighty-Four (1984),"Powder (1995)|Twelve Monkeys (1995)|Day the Earth Stood Still, The (1951)"
"Dead Zone, The (1983)",Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
Maximum Overdrive (1986),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Needful Things (1993),Interview with the Vampire (1994)|Mary Shelley's Frankenstein (1994)|Beyond Bedlam (1993)
Cujo (1983),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
Children of the Corn (1984),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
All Dogs Go to Heaven (1989),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
"Addams Family, The (1991)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Ever After: A Cinderella Story (1998),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Snake Eyes (1998),Heat (1995)|Hackers (1995)|Power 98 (1995)
"First Love, Last Rites (1997)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Safe Men (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Saltmen of Tibet, The (1997)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Atlantic City (1980),"Things to Do in Denver when You're Dead (1995)|Thieves (Voleurs, Les) (1996)|Professional, The (a.k.a. Leon: The Professional) (1994)"
Autumn Sonata (H�stsonaten ) (1978),Nixon (1995)|Othello (1995)|Now and Then (1995)
Who's Afraid of Virginia Woolf? (1966),Nixon (1995)|Othello (1995)|Now and Then (1995)
Adventures in Babysitting (1987),Around the World in 80 Days (1956)|Almost Heroes (1998)|Nothing But Trouble (1991)
Weird Science (1985),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Doctor Dolittle (1967),"Bedknobs and Broomsticks (1971)|Popeye (1980)|Slipper and the Rose, The (1976)"
"Nutty Professor, The (1963)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Charlotte's Web (1973),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
Watership Down (1978),Bogus (1996)|FairyTale: A True Story (1997)|E.T. the Extra-Terrestrial (1982)
"Secret of NIMH, The (1982)","Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
"Dark Crystal, The (1982)","20,000 Leagues Under the Sea (1954)|E.T. the Extra-Terrestrial (1982)|Star Kid (1997)"
"American Tail, An (1986)","Toy Story (1995)|Aladdin and the King of Thieves (1996)|American Tail: Fievel Goes West, An (1991)"
"American Tail: Fievel Goes West, An (1991)","Toy Story (1995)|Aladdin and the King of Thieves (1996)|American Tail, An (1986)"
Legend (1985),Ladyhawke (1985)|Wings of Courage (1995)|Golden Earrings (1947)
Sixteen Candles (1984),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Pretty in Pink (1986),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
St. Elmo's Fire (1985),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Clan of the Cave Bear, The (1986)",Nixon (1995)|Othello (1995)|Now and Then (1995)
House (1986),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
House II: The Second Story (1987),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
"Gods Must Be Crazy, The (1980)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Gods Must Be Crazy II, The (1989)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Air Bud: Golden Receiver (1998),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
"Avengers, The (1998)","Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
How Stella Got Her Groove Back (1998),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Slums of Beverly Hills, The (1998)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Best Man, The (Il Testimone dello sposo) (1997)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Chambermaid on the Titanic, The (1998)","Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
"Henry: Portrait of a Serial Killer, Part 2 (1996)",Henry: Portrait of a Serial Killer (1990)|Serial Mom (1994)|Psycho (1998)
Henry: Portrait of a Serial Killer (1990),"Henry: Portrait of a Serial Killer, Part 2 (1996)|Serial Mom (1994)|Psycho (1998)"
Rosemary's Baby (1968),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
"NeverEnding Story, The (1984)","Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)"
"NeverEnding Story II: The Next Chapter, The (1990)","Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)"
Attack of the Killer Tomatoes! (1980),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
Surf Nazis Must Die (1987),Nixon (1995)|Othello (1995)|Now and Then (1995)
Your Friends and Neighbors (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Return to Paradise (1998),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Blade (1998),King Kong (1933)|King Kong (1976)|King Kong Lives (1986)
Dance with Me (1998),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Dead Man on Campus (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Wrongfully Accused (1998),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)"
"Next Stop, Wonderland (1998)","American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Navigator: A Mediaeval Odyssey, The (1988)","Time Bandits (1981)|Star Wars: Episode IV - A New Hope (1977)|20,000 Leagues Under the Sea (1954)"
Beetlejuice (1988),"Drop Dead Fred (1991)|Midsummer Night's Dream, A (1999)|Big (1988)"
D�j� Vu (1997),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Rope (1948),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Family Plot (1976),Another Stakeout (1993)|Head Above Water (1996)|Tainted (1998)
Frenzy (1972),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Topaz (1969),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Torn Curtain (1966),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Marnie (1964),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Wrong Man, The (1956)",Key Largo (1948)|Casino (1995)|Eye for an Eye (1996)
"Man Who Knew Too Much, The (1956)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Trouble with Harry, The (1955)","Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
I Confess (1953),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Strangers on a Train (1951),"Suture (1993)|Murder, My Sweet (1944)|Manchurian Candidate, The (1962)"
Stage Fright (1950),"Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
54 (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
I Married A Strange Person (1997),Wallace & Gromit: The Best of Aardman Animation (1996)|Balto (1995)|Gumby: The Movie (1995)
Why Do Fools Fall In Love? (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Merry War, A (1997)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
See the Sea (Regarde la mer) (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
Willow (1988),"Dragonheart (1996)|7th Voyage of Sinbad, The (1958)|Supergirl (1984)"
"Untouchables, The (1987)","Dead Presidents (1995)|Menace II Society (1993)|Godfather, The (1972)"
Dirty Work (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Knock Off (1998),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Firelight (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
Modulations (1998),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Phoenix (1998),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Under Capricorn (1949),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Paradine Case, The (1947)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Lifeboat (1944),"Crimson Tide (1995)|Devil's Own, The (1997)|Casino (1995)"
Shadow of a Doubt (1943),"Suture (1993)|Murder, My Sweet (1944)|Manchurian Candidate, The (1962)"
Saboteur (1942),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Mr. & Mrs. Smith (1941),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Suspicion (1941),"Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
Jamaica Inn (1939),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Lady Vanishes, The (1938)",Charade (1963)|Boxing Helena (1993)|Radioland Murders (1994)
Young and Innocent (1937),"Seven (Se7en) (1995)|Usual Suspects, The (1995)|Romeo Is Bleeding (1993)"
Sabotage (1936),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Secret Agent (1936),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Man Who Knew Too Much, The (1934)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Waltzes from Vienna (1933),"Joe's Apartment (1996)|Funny Face (1957)|Band Wagon, The (1953)"
Number Seventeen (1932),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Rich and Strange (1932),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Skin Game, The (1931)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Elstree Calling (1930),"Joe's Apartment (1996)|Funny Face (1957)|Band Wagon, The (1953)"
Juno and Paycock (1930),Nixon (1995)|Othello (1995)|Now and Then (1995)
Murder! (1930),"Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
"Manxman, The (1929)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Blackmail (1929),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Champagne (1928),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Farmer's Wife, The (1928)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Downhill (1927),Nixon (1995)|Othello (1995)|Now and Then (1995)
Easy Virtue (1927),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Ring, The (1927)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Lodger, The (1926)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Mountain Eagle, The (1926)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Pleasure Garden, The (1925)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Always Tell Your Wife (1923),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Rounders (1998),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Cube (1997),"Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)"
Digging to China (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Let's Talk About Sex (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
One Man's Hero (1999),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Simon Birch (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Without Limits (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Seven Beauties (Pasqualino Settebellezze) (1976),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
My Bodyguard (1980),Nixon (1995)|Othello (1995)|Now and Then (1995)
Class (1983),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Grandview, U.S.A. (1984)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Broadcast News (1987),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
"Allnighter, The (1987)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Working Girl (1988),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Stars and Bars (1988),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Married to the Mob (1988),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Say Anything... (1989),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
My Blue Heaven (1990),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Men Don't Leave (1990),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Cabinet of Dr. Ramirez, The (1991)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Hero (1992),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Toys (1992),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)"
Choices (1981),Nixon (1995)|Othello (1995)|Now and Then (1995)
Young Doctors in Love (1982),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Parasite (1982),Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
No Small Affair (1984),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Master Ninja I (1984),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Blame It on Rio (1984),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Wisdom (1986),New York Cop (1996)|Set It Off (1996)|King of New York (1990)
One Crazy Summer (1986),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
About Last Night... (1986),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
"Seventh Sign, The (1988)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
We're No Angels (1989),Nixon (1995)|Othello (1995)|Now and Then (1995)
Nothing But Trouble (1991),Around the World in 80 Days (1956)|Almost Heroes (1998)|Adventures in Babysitting (1987)
"Butcher's Wife, The (1991)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Mortal Thoughts (1991),"Just Cause (1995)|Underneath, The (1995)|True Crime (1995)"
"Few Good Men, A (1992)","Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Indecent Proposal (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Century of Cinema, A (1994)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Permanent Midnight (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
One True Thing (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Rush Hour (1998),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Lilian's Story (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Six-String Samurai (1998),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)
"Soldier's Daughter Never Cries, A (1998)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Somewhere in the City (1997),Nixon (1995)|Othello (1995)|Now and Then (1995)
Ronin (1998),Heat (1995)|Hackers (1995)|Someone to Watch Over Me (1987)
Urban Legend (1998),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
Clay Pigeons (1998),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)"
Monument Ave. (1998),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)"
Pecker (1998),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Sheltering Sky, The (1990)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Bandit Queen (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
If.... (1968),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Fiendish Plot of Dr. Fu Manchu, The (1980)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Them! (1954),Aliens (1986)|Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)
"Thing, The (1982)",Alien (1979)|Alien� (1992)|Johnny Mnemonic (1995)
"Player, The (1992)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Stardust Memories (1980),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Edward Scissorhands (1990),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Overnight Delivery (1996),"Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)"
Shadrach (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Antz (1998),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
"Impostors, The (1998)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Night at the Roxbury, A (1998)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
What Dreams May Come (1998),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Strangeland (1998),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
"Battle of the Sexes, The (1959)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Producers, The (1968)","Joe's Apartment (1996)|Funny Face (1957)|Band Wagon, The (1953)"
History of the World: Part I (1981),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
My Cousin Vinny (1992),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Nashville (1975),"Mis�rables, Les (1995)|Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)|Farinelli: il castrato (1994)"
Love Is the Devil (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Slam (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Holy Man (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
One Tough Cop (1998),"Target (1995)|Perfect World, A (1993)|Program, The (1993)"
Detroit 9000 (1973),New York Cop (1996)|Set It Off (1996)|King of New York (1990)
"Inheritors, The (Die Siebtelbauern) (1998)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Mighty, The (1998)",Nixon (1995)|Othello (1995)|Now and Then (1995)
2010 (1984),"Stalker (1979)|X-Files: Fight the Future, The (1998)|Congo (1995)"
Children of a Lesser God (1986),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Elephant Man, The (1980)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Beloved (1998),Nixon (1995)|Othello (1995)|Now and Then (1995)
Bride of Chucky (1998),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
